LetterPairIndex,Letter Pair,BC1989 SimRate Upper,BC 1989 SimRate Lower,PG 1979 DiffRate Avg,PG1979 RT Avg,KB FeatDist,g1979Confus,ggm1983ConfusA,ggm1983ConfusB,Popp1964ConfusLower,BR1969ConfusLower,BR1968ConfusUpper,Lewand 2000 FreqDiff,Lewand 2000 FreqSum,Lewand FreqDiff/FreqSum,Ordinality Diff,OrdinalitySum,Ordinality Diff/Sum,EaglemanDistances
1,AB,2.335,2.455,3.05,457,2.645751311,0.02,0.02,0.01,1,2,0,0.06675,0.09659,0.691065328,1,3,0.333333333,0.87163
2,AC,2.375,2.58,3.95,445,3,0.006,0,0.005,2,1,0,0.05385,0.10949,0.491825738,2,4,0.5,0.85372
3,AD,2.375,2.245,3.5,475.5,3,0.0095,0.01,0.01,0,0,0,0.03914,0.1242,0.315136876,3,5,0.6,0.79634
4,AE,2.08,3.335,3.45,450,2.645751311,0.004,0.005,0.02,3,1,0,0.04535,0.20869,0.217307969,4,6,0.666666667,0.83933
5,AF,2.625,2,3.35,443.5,2.236067977,0.0065,0.015,0.01,3,1,0,0.05939,0.10395,0.571332371,5,7,0.714285714,0.77202
6,AG,2.37,2.835,3.65,458,2.645751311,0.0245,0.005,0.02,3,0,0,0.06152,0.10182,0.604203496,6,8,0.75,0.77152
7,AH,2.705,1.83,1.55,450.5,1.732050808,0.081,0.13,0.14,3,1,3,0.02073,0.14261,0.145361475,7,9,0.777777778,0.71143
8,AI,1.75,1.835,4.05,435.5,2.645751311,0.002,0.01,0.005,0,0,0,0.01201,0.15133,0.079362982,8,10,0.8,0.96231
9,AJ,2.08,1.665,4.2,450,2.828427125,0.0025,0.005,0.02,1,0,0,0.08014,0.0832,0.963221154,9,11,0.818181818,0.79181
10,AK,2.375,1.455,3.5,439,2.828427125,0.02,0.03,0.015,0,0,0,0.07395,0.08939,0.827273744,10,12,0.833333333,0.73726
11,AL,2,1.58,4.1,445,2.828427125,0.003,0.015,0.015,0,0,0,0.04142,0.12192,0.339730971,11,13,0.846153846,0.84702
12,AM,2.415,2.25,3.4,450.5,1.732050808,0.0395,0,0.04,0,0,0,0.05761,0.10573,0.544878464,12,14,0.857142857,0.72788
13,AN,2.455,2.335,3.45,440.5,2.236067977,0.0415,0.03,0.04,0,0,0,0.01418,0.14916,0.095065701,13,15,0.866666667,0.74294
14,AO,2.29,2.75,3.2,463.5,2.645751311,0.0235,0.01,0.015,1,0,0,0.0066,0.15674,0.042107949,14,16,0.875,0.93896
15,AP,2.75,2.415,3.55,445,2.236067977,0.0165,0.01,0.015,3,0,1,0.06238,0.10096,0.617868463,15,17,0.882352941,0.7814
16,AQ,2.12,2.29,4.2,463,2.645751311,0.0195,0.005,0.005,1,0,0,0.08072,0.08262,0.977003147,16,18,0.888888889,0.80846
17,AR,2.79,2.375,2.75,461,2.236067977,0.1325,0.02,0.03,0,0,0,0.0218,0.14154,0.154020065,17,19,0.894736842,0.68146
18,AS,1.96,2.58,3.9,444.5,3,0.014,0.005,0,2,0,0,0.0184,0.14494,0.126949082,18,20,0.9,0.80821
19,AT,2.125,1.75,4.05,446.5,2.449489743,0.003,0.01,0.005,2,0,0,0.00889,0.17223,0.051617024,19,21,0.904761905,0.81056
20,AU,2.665,2.375,3.1,451.5,2.236067977,0.007,0,0.005,3,0,0,0.05409,0.10925,0.495102975,20,22,0.909090909,0.80172
21,AV,2.495,1.75,2.95,469,2.645751311,0.0035,0,0.005,3,0,0,0.07189,0.09145,0.78611263,21,23,0.913043478,0.77752
22,AW,2.04,1.875,3.25,442,2.236067977,0.0205,0.01,0.015,1,0,0,0.05807,0.10527,0.551629144,22,24,0.916666667,0.83039
23,AX,2.415,1.875,3.65,451.5,2.645751311,0.0145,0.04,0.005,2,1,2,0.08017,0.08317,0.963929301,23,25,0.92,0.80862
24,AY,2.29,1.915,3.55,447,2.828427125,0.002,0.02,0.005,1,0,0,0.06193,0.10141,0.610689281,24,26,0.923076923,0.77874
25,AZ,1.75,2.46,3.95,446.5,2.645751311,0.007,0.03,0,0,0,0,0.08093,0.08241,0.982041014,25,27,0.925925926,0.82777
26,BC,2.54,2.67,3.1,451,2,0.0145,0,0.035,3,1,0,0.0129,0.04274,0.301824988,1,5,0.2,0.8916
27,BD,3.415,3.665,1.45,469,1.414213562,0.0585,0.135,0.16,9,8,0,0.02761,0.05745,0.480591819,2,6,0.333333333,0.67143
28,BE,3.04,2.665,1.6,459,2,0.05,0.065,0.05,1,2,0,0.1121,0.14194,0.789770325,3,7,0.428571429,0.81462
29,BF,2.705,1.79,2.35,435.5,2,0.013,0.015,0.01,2,1,0,0.00736,0.0372,0.197849462,4,8,0.5,0.75307
30,BG,2.54,2.955,2.9,452.5,2,0.067,0.005,0.065,1,1,0,0.00523,0.03507,0.149130311,5,9,0.555555556,0.69024
31,BH,2.25,3.29,2.25,450,2.828427125,0.0185,0.02,0.01,3,2,0,0.04602,0.07586,0.606643818,6,10,0.6,0.73795
32,BI,2.375,1.585,3.95,435,2.828427125,0.006,0.015,0,2,0,0,0.05474,0.08458,0.647197919,7,11,0.636363636,0.94169
33,BJ,2.04,1.75,4.15,431.5,2.645751311,0.008,0.005,0.005,2,1,0,0.01339,0.01645,0.813981763,8,12,0.666666667,0.72385
34,BK,2.29,2.58,2.75,439.5,2.645751311,0.015,0.045,0.005,1,0,2,0.0072,0.02264,0.318021201,9,13,0.692307692,0.75345
35,BL,2.25,2.165,3.4,441.5,2.645751311,0.012,0.025,0.02,0,0,0,0.02533,0.05517,0.459126337,10,14,0.714285714,0.83745
36,BM,1.96,1.71,4.15,448,3.16227766,0.0095,0.01,0.005,3,0,1,0.00914,0.03898,0.23447922,11,15,0.733333333,0.69958
37,BN,1.955,2.205,4.05,431,3.16227766,0.013,0.01,0.01,0,1,0,0.05257,0.08241,0.637908021,12,16,0.75,0.7032
38,BO,2.835,2.955,2.9,447.5,2,0.047,0.01,0.02,2,0,1,0.06015,0.08999,0.668407601,13,17,0.764705882,0.92103
39,BP,3.33,3.5,1.25,465,1.414213562,0.03,0.07,0.06,6,0,0,0.00437,0.03421,0.127740427,14,18,0.777777778,0.68094
40,BQ,2.205,3.585,3.15,466,2,0.0255,0.005,0.025,7,5,0,0.01397,0.01587,0.880277253,15,19,0.789473684,0.72874
41,BR,3.21,2.335,1.55,471,2,0.051,0.065,0.02,1,0,1,0.04495,0.07479,0.601016179,16,20,0.8,0.69511
42,BS,2.665,2,2.55,458.5,2.449489743,0.058,0.05,0.045,0,0,0,0.04835,0.07819,0.61836552,17,21,0.80952381,0.81677
43,BT,2.33,2.29,3.9,451.5,3,0.0065,0.005,0.005,1,0,0,0.07564,0.10548,0.717102768,18,22,0.818181818,0.72392
44,BU,2.25,2.165,3.55,438.5,2.828427125,0.0205,0.015,0.015,1,0,0,0.01266,0.0425,0.297882353,19,23,0.826086957,0.75734
45,BV,1.585,1.875,4.05,435.5,3.16227766,0.029,0.01,0.01,1,0,0,0.00514,0.0247,0.208097166,20,24,0.833333333,0.70336
46,BW,1.75,1.5,4.25,440.5,3.16227766,0.0095,0.01,0.015,0,0,0,0.00868,0.03852,0.225337487,21,25,0.84,0.72539
47,BX,1.875,1.585,3.8,438.5,3.16227766,0.009,0.005,0.005,1,0,0,0.01342,0.01642,0.817295981,22,26,0.846153846,0.72786
